sales_data_id,sale_date,profit_amount,event,weather,Temperature,sales_amount_lag_1,sales_amount_lag_7,sales_amount_lag_30,sales_amount_ma_30,sales_amount_std_30,sales_amount_ma_60,sales_amount_std_60,month_sin,month_cos,day_of_week_sin,day_of_week_cos
109,,2478.0,Normal_Day,Mostly_Sunny,33.0,11217.0,13429.0,10612.536,10077.056,2180.6558,10390.393,2285.7114,,,,
197,,2424.0,Holiday,Mostly_Sunny,38.0,14503.0,30095.0,9387.0,19020.27,10519.618,15102.297,8559.722,,,,
33,,1384.0,Normal_Day,Mostly_Sunny,32.0,8155.0,10766.0,14690.0,8718.172,2829.5205,,,,,,
608,,,Holiday,Mostly_Sunny,36.0,12948.0,10612.536,28959.0,10979.043,2947.3289,14793.556,8931.579,,,,
1,,1266.0,Holiday,Mostly_Sunny,31.0,,,,,,,,,,,
508,,1751.0,Normal_Day,Mostly_Sunny,35.0,11401.0,10612.536,9409.0,9835.261,2258.969,9503.161,2192.9028,,,,
418,,3212.0,Normal_Day,Mostly_Sunny,31.0,14478.0,14785.0,9431.0,10680.276,2508.086,11232.858,3244.5347,,,,
614,,,Normal_Day,Mostly_Sunny,35.0,6883.0,12948.0,12778.0,11297.125,3783.431,15058.123,9003.726,,,,
402,,,Normal_Day,Mostly_Sunny,34.0,10612.536,12432.0,9751.0,10528.143,1860.0673,10599.9,3269.3882,,,,
491,,2187.0,Normal_Day,Mostly_Sunny,34.0,10612.536,12873.0,10612.536,9227.107,2133.6929,9942.985,2544.3281,,,,
353,,1852.0,Normal_Day,Partly_Cloudy,33.0,10612.536,7087.0,10612.536,8397.679,2142.0044,8590.667,2592.4214,,,,
180,,4112.0,Normal_Day,Mostly_Sunny,38.0,23691.0,11222.0,16490.0,12306.625,4251.192,11247.1,3495.1372,,,,
569,,2655.0,Normal_Day,Mostly_Sunny,37.0,16968.0,16351.0,11774.0,12423.054,4879.0015,11454.99,3931.8066,,,,
693,,1822.0,Holiday,Mostly_Sunny,33.0,10612.536,10822.0,10612.536,8369.991,2061.6047,8734.967,2040.0604,,,,
640,,1542.0,Normal_Day,Mostly_Sunny,32.0,8451.0,9866.0,15851.0,9085.24,1926.5751,10356.99,3345.17,,,,
2,,,Holiday,Mostly_Cloudy,32.0,6552.0,,,,,,,,,,
889,,1120.0,Normal_Day,Partly_Cloudy,33.0,10612.536,10612.536,6519.0,8883.445,1747.5162,8558.493,1913.3387,,,,
320,,1594.0,Normal_Day,Mostly_Sunny,35.0,8178.0,7351.0,12304.0,9077.904,2885.7937,9141.806,2748.234,,,,
29,,2560.0,Holiday,Mostly_Sunny,31.0,9852.0,5025.0,,,,,,,,,
58,,,Holiday,Mostly_Sunny,29.0,10612.536,10612.536,9852.0,10467.477,2547.2744,,,,,,
156,,,Holiday,Mostly_Sunny,38.0,10612.536,10612.536,11961.0,10441.71,2456.0024,10375.949,2194.7537,,,,
328,,1628.0,Normal_Day,Mostly_Sunny,31.0,5502.0,4798.0,6694.0,8636.623,3001.723,8937.223,2806.4888,,,,
96,,1931.0,Normal_Day,Mostly_Sunny,35.0,9875.0,10156.0,15135.0,9852.189,2329.9248,10543.167,2337.2095,,,,
73,,2528.0,Normal_Day,Mostly_Sunny,34.0,10612.536,15135.0,7841.0,11540.963,2055.4932,10261.584,2643.348,,,,
433,,1768.0,Normal_Day,Partly_Cloudy,34.0,9674.0,6415.0,13287.0,10568.843,2982.9084,10593.067,2489.8818,,,,
264,,1351.0,Normal_Day,Mostly_Sunny,34.0,11398.0,7869.0,10040.0,9871.491,1892.6887,10237.659,2716.4116,,,,
280,,1491.0,Normal_Day,Mostly_Sunny,35.0,7778.0,10864.0,10230.0,9160.141,2444.4473,9734.908,2220.2708,,,,
73,,2528.0,Normal_Day,Mostly_Sunny,34.0,10612.536,15135.0,7841.0,11540.963,2055.4932,10261.584,2643.348,,,,
556,,1366.0,Normal_Day,Mostly_Sunny,39.0,8676.0,9422.0,10657.0,10478.289,2566.5098,10388.645,2327.027,,,,
430,,3560.0,Normal_Day,Mostly_Sunny,34.0,10612.536,10612.536,10542.0,10759.6455,2988.1978,10646.876,2476.6812,,,,
345,,,Holiday,Mostly_Sunny,35.0,10612.536,10612.536,3673.0,8379.445,2062.8066,8759.225,2609.453,,,,
652,,2358.0,Normal_Day,Partly_Cloudy,32.0,8365.0,11479.0,10612.536,9476.559,1808.2412,9805.908,3023.2358,,,,
338,,,Holiday,Mostly_Sunny,32.0,10612.536,10612.536,5734.0,8246.609,2177.6445,8844.216,2590.9119,,,,
291,,2334.0,Normal_Day,Mostly_Sunny,34.0,12304.0,12534.0,10612.536,9218.123,2659.0464,9584.075,2271.9592,,,,
575,,5697.0,Normal_Day,Mostly_Sunny,35.0,34709.0,16968.0,10612.536,15586.636,7850.2954,13179.915,6229.905,,,,
113,,2051.0,Holiday,Mostly_Sunny,32.0,14053.0,10612.536,5419.0,10178.723,2017.6562,10384.775,2310.8254,,,,
201,,1935.0,Normal_Day,Mostly_Sunny,37.0,12798.0,17291.0,17795.0,19139.303,10315.842,15146.189,8531.139,,,,
219,,,Holiday,Mostly_Sunny,35.0,3686.0,10612.536,30331.0,14422.189,10528.86,14756.664,8905.036,,,,
583,,1725.0,Normal_Day,Partly_Cloudy,33.0,6728.0,60793.0,10698.0,18855.154,10997.185,14717.514,8928.542,,,,
338,,,Holiday,Mostly_Sunny,32.0,10612.536,10612.536,5734.0,8246.609,2177.6445,8844.216,2590.9119,,,,
306,,1845.0,Normal_Day,Mostly_Sunny,33.0,11100.0,5823.0,7708.0,9349.456,3037.8704,9530.04,2589.4158,,,,
10,,1110.0,Normal_Day,Partly_Cloudy,33.0,10612.536,14690.0,,,,,,,,,
319,,1653.0,Normal_Day,Mostly_Sunny,34.0,7700.0,10402.0,10612.536,9227.404,2934.0962,9188.365,2749.107,,,,
402,,,Normal_Day,Mostly_Sunny,34.0,10612.536,12432.0,9751.0,10528.143,1860.0673,10599.9,3269.3882,,,,
95,,1596.0,Normal_Day,Mostly_Sunny,34.0,12451.0,10955.0,10612.536,10012.589,2521.2375,10539.65,2337.705,,,,
