sales_data_id,sale_date,sales_amount,profit_amount,Temperature,day_of_year,Date,Month,Year,is_closed,event_Normal Day,weather_Mostly Sunny,weather_Partly Cloudy,weather_Scattered Shower
153,2023-04-06,7654.0,1506.0,38.0,96,6,4,2023,0,True,True,False,False
154,2023-04-07,10612.535779816513,2074.0550458715597,33.0,97,7,4,2023,0,True,True,False,False
155,2023-04-08,10612.535779816513,2074.0550458715597,37.0,98,8,4,2023,0,False,True,False,False
156,2023-04-09,10612.535779816513,2074.0550458715597,38.0,99,9,4,2023,0,False,True,False,False
157,2023-04-10,16677.0,3648.0,37.0,100,10,4,2023,0,True,True,False,False
158,2023-04-11,11107.0,2304.0,38.0,101,11,4,2023,0,True,True,False,False
159,2023-04-12,9927.0,2001.0,37.0,102,12,4,2023,0,True,False,True,False
160,2023-04-13,7257.0,1500.0,38.0,103,13,4,2023,0,False,True,False,False
161,2023-04-14,8842.0,1370.0,37.0,104,14,4,2023,0,False,True,False,False
162,2023-04-15,10612.535779816513,2074.0550458715597,38.0,105,15,4,2023,0,False,True,False,False
163,2023-04-16,10612.535779816513,2074.0550458715597,33.0,106,16,4,2023,0,False,False,True,False
164,2023-04-17,8749.0,1601.0,37.0,107,17,4,2023,0,True,True,False,False
165,2023-04-18,16515.0,3128.0,37.0,108,18,4,2023,0,True,False,True,False
166,2023-04-19,12595.0,2550.0,38.0,109,19,4,2023,0,True,True,False,False
167,2023-04-20,9387.0,1768.0,39.0,110,20,4,2023,0,True,True,False,False
168,2023-04-21,8855.0,1715.0,39.0,111,21,4,2023,0,True,True,False,False
169,2023-04-22,6193.0,1284.0,38.0,112,22,4,2023,0,False,True,False,False
170,2023-04-23,10612.535779816513,2074.0550458715597,37.0,113,23,4,2023,0,False,True,False,False
171,2023-04-24,17795.0,3711.0,38.0,114,24,4,2023,0,True,True,False,False
172,2023-04-25,9421.0,2007.0,39.0,115,25,4,2023,0,True,True,False,False
173,2023-04-26,11222.0,2259.0,30.0,116,26,4,2023,0,True,False,True,False
174,2023-04-27,11641.0,2176.0,36.0,117,27,4,2023,0,True,True,False,False
175,2023-04-28,14596.0,2742.0,36.0,118,28,4,2023,0,True,True,False,False
176,2023-04-29,17509.0,3369.0,38.0,119,29,4,2023,0,False,False,True,False
177,2023-04-30,10612.535779816513,2074.0550458715597,31.0,120,30,4,2023,0,False,True,False,False
178,2023-05-01,12563.0,2296.0,37.0,121,1,5,2023,0,True,True,False,False
179,2023-05-02,23691.0,4292.0,35.0,122,2,5,2023,0,True,True,False,False
180,2023-05-03,22840.0,4112.0,38.0,123,3,5,2023,0,True,True,False,False
181,2023-05-04,17516.0,2972.0,37.0,124,4,5,2023,0,True,True,False,False
182,2023-05-05,19074.0,3421.0,39.0,125,5,5,2023,0,True,True,False,False
183,2023-05-06,17992.0,3288.0,40.0,126,6,5,2023,0,False,True,False,False
184,2023-05-07,9147.0,1638.0,40.0,127,7,5,2023,0,False,True,False,False
185,2023-05-08,26166.0,4550.0,38.0,128,8,5,2023,0,True,False,True,False
186,2023-05-09,23732.0,4143.0,37.0,129,9,5,2023,0,True,True,False,False
187,2023-05-10,12515.0,4047.0,35.0,130,10,5,2023,0,True,False,True,False
188,2023-05-11,34140.0,5765.0,35.0,131,11,5,2023,0,True,True,False,False
189,2023-05-12,30331.0,7503.0,37.0,132,12,5,2023,0,True,True,False,False
190,2023-05-13,30095.0,5408.0,37.0,133,13,5,2023,0,False,True,False,False
191,2023-05-14,37997.0,5740.0,37.0,134,14,5,2023,0,False,True,False,False
192,2023-05-15,55488.0,9081.0,37.0,135,15,5,2023,0,True,True,False,False
193,2023-05-16,21394.0,4379.0,37.0,136,16,5,2023,0,True,True,False,False
194,2023-05-17,17291.0,3192.0,38.0,137,17,5,2023,0,True,True,False,False
195,2023-05-18,12952.0,2439.0,38.0,138,18,5,2023,0,True,True,False,False
196,2023-05-19,14503.0,2714.0,38.0,139,19,5,2023,0,True,True,False,False
197,2023-05-20,12724.0,2424.0,38.0,140,20,5,2023,0,False,True,False,False
198,2023-05-21,10612.535779816513,2074.0550458715597,39.0,141,21,5,2023,0,False,True,False,False
199,2023-05-22,13208.0,2641.0,38.0,142,22,5,2023,0,True,True,False,False
200,2023-05-23,12798.0,2547.0,37.0,143,23,5,2023,0,True,True,False,False
201,2023-05-24,10408.0,1935.0,37.0,144,24,5,2023,0,True,True,False,False
202,2023-05-25,13382.0,2475.0,36.0,145,25,5,2023,0,True,True,False,False
203,2023-05-26,7753.0,1524.0,37.0,146,26,5,2023,0,True,True,False,False
204,2023-05-27,4712.0,840.0,37.0,147,27,5,2023,0,False,True,False,False
205,2023-05-28,10612.535779816513,2074.0550458715597,36.0,148,28,5,2023,0,False,True,False,False
206,2023-05-29,19963.0,2325.0,33.0,149,29,5,2023,0,True,False,True,False
207,2023-05-30,19260.0,1874.0,36.0,150,30,5,2023,0,True,True,False,False
208,2023-05-31,8822.0,1862.0,37.0,151,31,5,2023,0,True,True,False,False
209,2023-06-01,8244.0,1574.0,37.0,152,1,6,2023,0,True,True,False,False
210,2023-06-02,5911.0,1243.0,37.0,153,2,6,2023,0,True,True,False,False
211,2023-06-03,10612.535779816513,2074.0550458715597,37.0,154,3,6,2023,0,False,True,False,False
212,2023-06-04,10612.535779816513,2074.0550458715597,37.0,155,4,6,2023,0,False,True,False,False
213,2023-06-05,9541.0,1923.0,35.0,156,5,6,2023,0,True,True,False,False
214,2023-06-06,12752.0,2606.0,35.0,157,6,6,2023,0,True,False,True,False
215,2023-06-07,10334.0,1894.0,35.0,158,7,6,2023,0,True,False,True,False
216,2023-06-08,8525.0,1816.0,35.0,159,8,6,2023,0,True,False,True,False
217,2023-06-09,7860.0,1525.0,32.0,160,9,6,2023,0,True,False,True,False
218,2023-06-10,3686.0,769.0,34.0,161,10,6,2023,0,False,False,True,False
219,2023-06-11,10612.535779816513,2074.0550458715597,35.0,162,11,6,2023,0,False,True,False,False
220,2023-06-12,15319.0,2880.0,35.0,163,12,6,2023,0,True,True,False,False
221,2023-06-13,10912.0,2135.0,34.0,164,13,6,2023,0,True,True,False,False
222,2023-06-14,13332.0,2884.0,34.0,165,14,6,2023,0,True,False,True,False
223,2023-06-15,9449.0,1750.0,34.0,166,15,6,2023,0,False,True,False,False
224,2023-06-16,10612.535779816513,2074.0550458715597,34.0,167,16,6,2023,0,True,True,False,False
225,2023-06-17,10612.535779816513,2074.0550458715597,36.0,168,17,6,2023,0,False,True,False,False
226,2023-06-18,10612.535779816513,2074.0550458715597,33.0,169,18,6,2023,0,False,False,False,False
227,2023-06-19,14296.0,2717.0,35.0,170,19,6,2023,0,True,True,False,False
228,2023-06-20,9492.0,1456.0,36.0,171,20,6,2023,0,True,True,False,False
