Date,Sales,Profit,Event,Day,Festival,Weather
2566/06/18,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Cloudy
2566/06/19,14296.0,2717.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/06/20,9492.0,1456.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/06/21,9411.0,1860.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/06/22,8138.0,1607.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/06/23,7315.0,1492.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/06/24,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/06/25,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/06/26,10040.0,1949.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/06/27,8697.0,1732.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/06/28,9052.0,1736.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/06/29,8186.0,1599.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/06/30,7238.0,1563.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/07/01,7805.0,1677.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/07/02,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
2566/07/03,9136.0,1809.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/07/04,12823.0,2509.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/07/05,14601.0,2898.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/07/06,12057.0,2697.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/07/07,10202.0,1886.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/07/08,10562.0,2084.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/07/09,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
2566/07/10,11744.0,2510.0,Normal Day,Monday,Normal Day,Partly Clooudy
2566/07/11,10234.0,2137.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/07/12,10230.0,2059.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/07/13,7617.0,1657.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/07/14,6818.0,1541.0,Normal Day,Friday,Normal Day,Mostly Sunny
